Acceleration | 0.057   | 0.049    | 1.0 W     | 9.5 J     | ✅ OK
Acceleration | 0.150   | 0.128    | 2.7 W     | 1.43 kJ   | ✅ OK
Acceleration | 0.209   | 0.178    | 3.8 W     | 1.43 kJ   | ✅ OK
Acceleration | 0.274   | 0.233    | 4.9 W     | 1.43 kJ   | ✅ OK
Acceleration | 0.343   | 0.291    | 6.2 W     | 1.43 kJ   | 🛡️ CLIPPED
Acceleration | 0.412   | 0.350    | 7.4 W     | 1.43 kJ   | 🛡️ CLIPPED
Acceleration | 0.478   | 0.407    | 8.6 W     | 1.43 kJ   | 🛡️ CLIPPED
Acceleration | 0.540   | 0.459    | 9.7 W     | 1.43 kJ   | 🛡️ CLIPPED
Acceleration | 0.543   | 0.461    | 9.8 W     | 1.43 kJ   | 🛡️ CLIPPED
Acceleration | 0.481   | 0.409    | 8.7 W     | 1.43 kJ   | 🛡️ CLIPPED
Acceleration | 0.415   | 0.353    | 7.5 W     | 1.43 kJ   | 🛡️ CLIPPED
Acceleration | 0.346   | 0.294    | 6.2 W     | 1.43 kJ   | 🛡️ CLIPPED
Acceleration | 0.278   | 0.236    | 5.0 W     | 1.43 kJ   | ✅ OK
Acceleration | 0.213   | 0.181    | 3.8 W     | 1.43 kJ   | ✅ OK
Acceleration | 0.153   | 0.130    | 2.8 W     | 1.43 kJ   | ✅ OK
Acceleration | 0.102   | 0.086    | 1.8 W     | 1.43 kJ   | ✅ OK
Acceleration | 0.060   | 0.051    | 1.1 W     | 1.43 kJ   | ✅ OK
Acceleration | 0.031   | 0.026    | 0.6 W     | 1.43 kJ   | ✅ OK
Acceleration | 0.014   | 0.012    | 0.3 W     | 1.43 kJ   | ✅ OK
Acceleration | 0.012   | 0.010    | 0.2 W     | 1.43 kJ   | ✅ OK
Acceleration | 0.022   | 0.019    | 0.4 W     | 1.43 kJ   | ✅ OK
Acceleration | 0.047   | 0.040    | 0.8 W     | 1.43 kJ   | ✅ OK
Acceleration | 0.083   | 0.071    | 1.5 W     | 1.43 kJ   | ✅ OK
Acceleration | 0.131   | 0.111    | 2.4 W     | 1.43 kJ   | ✅ OK
Acceleration | 0.104   | 0.088    | 1.9 W     | 1.43 kJ   | ✅ OK
Acceleration | 0.062   | 0.053    | 1.1 W     | 1.43 kJ   | ✅ OK
Acceleration | 0.032   | 0.027    | 0.6 W     | 1.43 kJ   | ✅ OK
Acceleration | 0.015   | 0.013    | 0.3 W     | 1.43 kJ   | ✅ OK
Storm/Chaos  | -0.012   | -0.010    | 0.2 W     | 1.43 kJ   | ✅ OK
Storm/Chaos  | 0.051   | 0.043    | 0.9 W     | 1.43 kJ   | ✅ OK
Storm/Chaos  | -0.014   | -0.012    | 0.2 W     | 1.43 kJ   | ✅ OK
Storm/Chaos  | -0.118   | -0.100    | 2.1 W     | 1.44 kJ   | ✅ OK
Storm/Chaos  | -0.117   | -0.099    | 2.1 W     | 1.44 kJ   | ✅ OK
Storm/Chaos  | -0.929   | -0.790    | 16.7 W     | 1.44 kJ   | 🛡️ CLIPPED
Storm/Chaos  | -1.372   | -1.166    | 24.7 W     | 1.44 kJ   | 🛡️ CLIPPED
Storm/Chaos  | -1.331   | -1.131    | 24.0 W     | 1.44 kJ   | 🛡️ CLIPPED
Storm/Chaos  | -0.890   | -0.757    | 16.0 W     | 1.44 kJ   | 🛡️ CLIPPED
Storm/Chaos  | -0.255   | -0.217    | 4.6 W     | 1.44 kJ   | ✅ OK
Storm/Chaos  | 0.340   | 0.289    | 6.1 W     | 1.44 kJ   | 🛡️ CLIPPED
Storm/Chaos  | 0.725   | 0.616    | 13.0 W     | 1.45 kJ   | 🛡️ CLIPPED
Storm/Chaos  | 0.396   | 0.336    | 7.1 W     | 1.45 kJ   | 🛡️ CLIPPED
Storm/Chaos  | -0.592   | -0.503    | 10.7 W     | 1.45 kJ   | 🛡️ CLIPPED
Storm/Chaos  | -1.316   | -1.118    | 23.7 W     | 1.45 kJ   | 🛡️ CLIPPED
Storm/Chaos  | -1.551   | -1.275    | 33.1 W     | 1.45 kJ   | 🛡️ CLIPPED
Storm/Chaos  | -1.240   | -1.054    | 22.3 W     | 1.46 kJ   | 🛡️ CLIPPED
Storm/Chaos  | -0.516   | -0.438    | 9.3 W     | 1.46 kJ   | 🛡️ CLIPPED
Storm/Chaos  | 0.353   | 0.300    | 6.3 W     | 1.46 kJ   | 🛡️ CLIPPED
Storm/Chaos  | 1.061   | 0.902    | 19.1 W     | 1.46 kJ   | 🛡️ CLIPPED
Storm/Chaos  | 0.866   | 0.736    | 15.6 W     | 1.46 kJ   | 🛡️ CLIPPED
Storm/Chaos  | 0.387   | 0.329    | 7.0 W     | 1.46 kJ   | 🛡️ CLIPPED
Storm/Chaos  | -0.157   | -0.133    | 2.8 W     | 1.46 kJ   | ✅ OK
Storm/Chaos  | -0.571   | -0.485    | 10.3 W     | 1.46 kJ   | 🛡️ CLIPPED
Storm/Chaos  | -0.694   | -0.590    | 12.5 W     | 1.46 kJ   | 🛡️ CLIPPED
Storm/Chaos  | -0.474   | -0.403    | 8.5 W     | 1.46 kJ   | 🛡️ CLIPPED
Storm/Chaos  | 0.002   | 0.002    | 0.0 W     | 1.46 kJ   | ✅ OK
Storm/Chaos  | 0.536   | 0.456    | 9.7 W     | 1.47 kJ   | 🛡️ CLIPPED
Storm/Chaos  | 0.902   | 0.767    | 16.2 W     | 1.47 kJ   | 🛡️ CLIPPED
Storm/Chaos  | 0.937   | 0.796    | 16.9 W     | 1.47 kJ   | 🛡️ CLIPPED
Storm/Chaos  | 0.618   | 0.525    | 11.1 W     | 1.47 kJ   | 🛡️ CLIPPED
Storm/Chaos  | 0.079   | 0.067    | 1.4 W     | 1.47 kJ   | ✅ OK
Storm/Chaos  | -0.438   | -0.372    | 7.9 W     | 1.47 kJ   | 🛡️ CLIPPED
Storm/Chaos  | -0.680   | -0.578    | 12.2 W     | 1.47 kJ   | 🛡️ CLIPPED
Storm/Chaos  | -0.490   | -0.417    | 8.8 W     | 1.47 kJ   | 🛡️ CLIPPED
Storm/Chaos  | -0.457   | -0.389    | 8.2 W     | 1.47 kJ   | 🛡️ CLIPPED
Storm/Chaos  | -0.337   | -0.286    | 6.1 W     | 1.47 kJ   | 🛡️ CLIPPED
Storm/Chaos  | -0.131   | -0.111    | 2.4 W     | 1.47 kJ   | ✅ OK
Storm/Chaos  | 0.022   | 0.019    | 0.4 W     | 1.47 kJ   | ✅ OK
Storm/Chaos  | 0.043   | 0.036    | 0.8 W     | 1.47 kJ   | ✅ OK
Storm/Chaos  | -0.047   | -0.040    | 0.8 W     | 1.48 kJ   | ✅ OK
Storm/Chaos  | -0.135   | -0.115    | 2.4 W     | 1.48 kJ   | ✅ OK
Storm/Chaos  | -0.370   | -0.314    | 6.7 W     | 1.48 kJ   | 🛡️ CLIPPED
Storm/Chaos  | -1.112   | -0.945    | 20.0 W     | 1.48 kJ   | 🛡️ CLIPPED
Storm/Chaos  | -1.410   | -1.199    | 25.4 W     | 1.48 kJ   | 🛡️ CLIPPED
Storm/Chaos  | -1.233   | -1.048    | 22.2 W     | 1.48 kJ   | 🛡️ CLIPPED
Storm/Chaos  | -0.709   | -0.602    | 12.8 W     | 1.48 kJ   | 🛡️ CLIPPED
Storm/Chaos  | -0.063   | -0.053    | 1.1 W     | 1.48 kJ   | ✅ OK
Storm/Chaos  | 0.482   | 0.410    | 8.7 W     | 1.48 kJ   | 🛡️ CLIPPED
Storm/Chaos  | 0.789   | 0.671    | 14.2 W     | 1.49 kJ   | 🛡️ CLIPPED
Storm/Chaos  | 0.088   | 0.075    | 1.6 W     | 1.49 kJ   | ✅ OK
Storm/Chaos  | -0.850   | -0.723    | 15.3 W     | 1.49 kJ   | 🛡️ CLIPPED
Storm/Chaos  | -1.444   | -1.227    | 26.0 W     | 1.49 kJ   | 🛡️ CLIPPED
Storm/Chaos  | -1.512   | -1.275    | 28.4 W     | 1.49 kJ   | 🛡️ CLIPPED
Storm/Chaos  | -1.055   | -0.897    | 19.0 W     | 1.50 kJ   | 🛡️ CLIPPED
Storm/Chaos  | -0.255   | -0.217    | 4.6 W     | 1.50 kJ   | ✅ OK
Storm/Chaos  | 0.595   | 0.506    | 10.7 W     | 1.50 kJ   | 🛡️ CLIPPED
Storm/Chaos  | 1.080   | 0.918    | 19.4 W     | 1.50 kJ   | 🛡️ CLIPPED
Storm/Chaos  | 0.739   | 0.628    | 13.3 W     | 1.50 kJ   | 🛡️ CLIPPED
Storm/Chaos  | 0.221   | 0.188    | 4.0 W     | 1.50 kJ   | ✅ OK
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 1.52 kJ   | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 1.54 kJ   | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 1.55 kJ   | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 1.57 kJ   | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 1.59 kJ   | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 1.61 kJ   | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 1.63 kJ   | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 1.64 kJ   | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 1.66 kJ   | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 1.68 kJ   | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 1.70 kJ   | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 1.72 kJ   | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 1.73 kJ   | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 1.75 kJ   | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 1.77 kJ   | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 1.79 kJ   | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 1.81 kJ   | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 1.82 kJ   | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 1.84 kJ   | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 1.86 kJ   | 🚨 FAIL-SAFE
Recovery     | 0.104   | 0.088    | 1.9 W     | 1.86 kJ   | ✅ OK
Recovery     | 0.082   | 0.070    | 1.5 W     | 1.86 kJ   | ✅ OK
Recovery     | 0.065   | 0.055    | 1.2 W     | 1.86 kJ   | ✅ OK
Recovery     | 0.051   | 0.043    | 0.9 W     | 1.86 kJ   | ✅ OK
Recovery     | 0.042   | 0.036    | 0.8 W     | 1.86 kJ   | ✅ OK
Recovery     | 0.038   | 0.032    | 0.7 W     | 1.86 kJ   | ✅ OK
Recovery     | 0.038   | 0.032    | 0.7 W     | 1.86 kJ   | ✅ OK
Recovery     | 0.042   | 0.036    | 0.8 W     | 1.86 kJ   | ✅ OK
Recovery     | 0.052   | 0.044    | 0.9 W     | 1.86 kJ   | ✅ OK
Recovery     | 0.066   | 0.056    | 1.2 W     | 1.86 kJ   | ✅ OK
Recovery     | 0.084   | 0.071    | 1.5 W     | 1.86 kJ   | ✅ OK
Recovery     | 0.106   | 0.090    | 1.9 W     | 1.86 kJ   | ✅ OK
Recovery     | 0.132   | 0.112    | 2.4 W     | 1.86 kJ   | ✅ OK
Recovery     | 0.161   | 0.137    | 2.9 W     | 1.86 kJ   | ✅ OK
Recovery     | 0.193   | 0.164    | 3.5 W     | 1.86 kJ   | ✅ OK
Recovery     | 0.227   | 0.193    | 4.1 W     | 1.86 kJ   | ✅ OK
Recovery     | 0.263   | 0.224    | 4.7 W     | 1.86 kJ   | ✅ OK
Recovery     | 0.301   | 0.256    | 5.4 W     | 1.86 kJ   | ✅ OK
Recovery     | 0.340   | 0.289    | 6.1 W     | 1.86 kJ   | 🛡️ CLIPPED
Recovery     | 0.373   | 0.317    | 6.7 W     | 1.87 kJ   | 🛡️ CLIPPED
Recovery     | 0.358   | 0.304    | 6.4 W     | 1.87 kJ   | 🛡️ CLIPPED
Recovery     | 0.342   | 0.291    | 6.2 W     | 1.87 kJ   | 🛡️ CLIPPED
Recovery     | 0.327   | 0.278    | 5.9 W     | 1.87 kJ   | ✅ OK
Recovery     | 0.313   | 0.266    | 5.6 W     | 1.87 kJ   | ✅ OK
Recovery     | 0.299   | 0.254    | 5.4 W     | 1.87 kJ   | ✅ OK
Recovery     | 0.287   | 0.244    | 5.2 W     | 1.87 kJ   | ✅ OK
Recovery     | 0.275   | 0.234    | 5.0 W     | 1.87 kJ   | ✅ OK
Recovery     | 0.266   | 0.226    | 4.8 W     | 1.87 kJ   | ✅ OK
Recovery     | 0.258   | 0.219    | 4.6 W     | 1.87 kJ   | ✅ OK
Recovery     | 0.252   | 0.214    | 4.5 W     | 1.87 kJ   | ✅ OK
Recovery     | 0.248   | 0.211    | 4.5 W     | 1.87 kJ   | ✅ OK
Recovery     | 0.246   | 0.209    | 4.4 W     | 1.87 kJ   | ✅ OK
Recovery     | 0.246   | 0.209    | 4.4 W     | 1.87 kJ   | ✅ OK
Recovery     | 0.248   | 0.211    | 4.5 W     | 1.87 kJ   | ✅ OK
Recovery     | 0.252   | 0.214    | 4.5 W     | 1.87 kJ   | ✅ OK
Recovery     | 0.258   | 0.220    | 4.7 W     | 1.87 kJ   | ✅ OK
Recovery     | 0.266   | 0.226    | 4.8 W     | 1.87 kJ   | ✅ OK
Recovery     | 0.276   | 0.235    | 5.0 W     | 1.87 kJ   | ✅ OK
Recovery     | 0.287   | 0.244    | 5.2 W     | 1.88 kJ   | ✅ OK
Recovery     | 0.300   | 0.255    | 5.4 W     | 1.88 kJ   | ✅ OK
Calm Water   | 0.181   | 0.154    | 3.3 W     | 1.88 kJ   | ✅ OK
Calm Water   | 0.183   | 0.156    | 3.3 W     | 1.88 kJ   | ✅ OK
Calm Water   | 0.187   | 0.159    | 3.4 W     | 1.88 kJ   | ✅ OK
Calm Water   | 0.193   | 0.164    | 3.5 W     | 1.88 kJ   | ✅ OK
Calm Water   | 0.200   | 0.170    | 3.6 W     | 1.88 kJ   | ✅ OK
Calm Water   | 0.209   | 0.178    | 3.8 W     | 1.88 kJ   | ✅ OK
Calm Water   | 0.219   | 0.186    | 3.9 W     | 1.88 kJ   | ✅ OK
Calm Water   | 0.231   | 0.196    | 4.1 W     | 1.88 kJ   | ✅ OK
Calm Water   | 0.243   | 0.207    | 4.4 W     | 1.88 kJ   | ✅ OK
Calm Water   | 0.257   | 0.218    | 4.6 W     | 1.88 kJ   | ✅ OK
Calm Water   | 0.272   | 0.231    | 4.9 W     | 1.88 kJ   | ✅ OK
Calm Water   | 0.287   | 0.244    | 5.2 W     | 1.88 kJ   | ✅ OK
Calm Water   | 0.303   | 0.258    | 5.5 W     | 1.88 kJ   | ✅ OK
Calm Water   | 0.320   | 0.272    | 5.8 W     | 1.88 kJ   | ✅ OK
Calm Water   | 0.338   | 0.287    | 6.1 W     | 1.88 kJ   | 🛡️ CLIPPED
Calm Water   | 0.355   | 0.302    | 6.4 W     | 1.88 kJ   | 🛡️ CLIPPED
Calm Water   | 0.373   | 0.317    | 6.7 W     | 1.88 kJ   | 🛡️ CLIPPED
Calm Water   | 0.379   | 0.322    | 6.8 W     | 1.88 kJ   | 🛡️ CLIPPED
Calm Water   | 0.369   | 0.314    | 6.6 W     | 1.88 kJ   | 🛡️ CLIPPED
Calm Water   | 0.359   | 0.306    | 6.5 W     | 1.89 kJ   | 🛡️ CLIPPED
Calm Water   | 0.350   | 0.297    | 6.3 W     | 1.89 kJ   | 🛡️ CLIPPED
Calm Water   | 0.340   | 0.289    | 6.1 W     | 1.89 kJ   | 🛡️ CLIPPED
Calm Water   | 0.331   | 0.281    | 6.0 W     | 1.89 kJ   | ✅ OK
Calm Water   | 0.322   | 0.273    | 5.8 W     | 1.89 kJ   | ✅ OK
Calm Water   | 0.313   | 0.266    | 5.6 W     | 1.89 kJ   | ✅ OK
Calm Water   | 0.305   | 0.260    | 5.5 W     | 1.89 kJ   | ✅ OK
Calm Water   | 0.298   | 0.253    | 5.4 W     | 1.89 kJ   | ✅ OK
Calm Water   | 0.292   | 0.248    | 5.3 W     | 1.89 kJ   | ✅ OK
Calm Water   | 0.286   | 0.243    | 5.1 W     | 1.89 kJ   | ✅ OK
Calm Water   | 0.281   | 0.239    | 5.1 W     | 1.89 kJ   | ✅ OK
Calm Water   | 0.277   | 0.236    | 5.0 W     | 1.89 kJ   | ✅ OK
Calm Water   | 0.274   | 0.233    | 4.9 W     | 1.89 kJ   | ✅ OK
Calm Water   | 0.272   | 0.232    | 4.9 W     | 1.89 kJ   | ✅ OK
Calm Water   | 0.271   | 0.231    | 4.9 W     | 1.89 kJ   | ✅ OK
Calm Water   | 0.272   | 0.231    | 4.9 W     | 1.89 kJ   | ✅ OK
Calm Water   | 0.273   | 0.232    | 4.9 W     | 1.89 kJ   | ✅ OK
Calm Water   | 0.275   | 0.233    | 4.9 W     | 1.89 kJ   | ✅ OK
Calm Water   | 0.278   | 0.236    | 5.0 W     | 1.90 kJ   | ✅ OK
Calm Water   | 0.281   | 0.239    | 5.1 W     | 1.90 kJ   | ✅ OK
Calm Water   | 0.286   | 0.243    | 5.2 W     | 1.90 kJ   | ✅ OK
Acceleration | 0.078   | 0.066    | 1.4 W     | 1.90 kJ   | ✅ OK
Acceleration | 0.124   | 0.105    | 2.2 W     | 1.90 kJ   | ✅ OK
Acceleration | 0.179   | 0.152    | 3.2 W     | 1.90 kJ   | ✅ OK
Acceleration | 0.242   | 0.205    | 4.4 W     | 1.90 kJ   | ✅ OK
Acceleration | 0.309   | 0.262    | 5.6 W     | 1.90 kJ   | ✅ OK
Acceleration | 0.378   | 0.321    | 6.8 W     | 1.90 kJ   | 🛡️ CLIPPED
Acceleration | 0.446   | 0.379    | 8.0 W     | 1.90 kJ   | 🛡️ CLIPPED
Acceleration | 0.510   | 0.434    | 9.2 W     | 1.90 kJ   | 🛡️ CLIPPED
Acceleration | 0.569   | 0.483    | 10.2 W     | 1.90 kJ   | 🛡️ CLIPPED
Acceleration | 0.513   | 0.436    | 9.2 W     | 1.90 kJ   | 🛡️ CLIPPED
Acceleration | 0.448   | 0.381    | 8.1 W     | 1.90 kJ   | 🛡️ CLIPPED
Acceleration | 0.380   | 0.323    | 6.8 W     | 1.90 kJ   | 🛡️ CLIPPED
Acceleration | 0.311   | 0.265    | 5.6 W     | 1.90 kJ   | ✅ OK
Acceleration | 0.244   | 0.208    | 4.4 W     | 1.90 kJ   | ✅ OK
Acceleration | 0.182   | 0.154    | 3.3 W     | 1.90 kJ   | ✅ OK
Acceleration | 0.126   | 0.107    | 2.3 W     | 1.91 kJ   | ✅ OK
Acceleration | 0.079   | 0.067    | 1.4 W     | 1.91 kJ   | ✅ OK
Acceleration | 0.044   | 0.037    | 0.8 W     | 1.91 kJ   | ✅ OK
Acceleration | 0.021   | 0.018    | 0.4 W     | 1.91 kJ   | ✅ OK
Acceleration | 0.011   | 0.010    | 0.2 W     | 1.91 kJ   | ✅ OK
Acceleration | 0.015   | 0.013    | 0.3 W     | 1.91 kJ   | ✅ OK
Acceleration | 0.033   | 0.028    | 0.6 W     | 1.91 kJ   | ✅ OK
Acceleration | 0.064   | 0.054    | 1.1 W     | 1.91 kJ   | ✅ OK
Acceleration | 0.106   | 0.090    | 1.9 W     | 1.91 kJ   | ✅ OK
